hotel,country,adults,children,babies,market_segment,distribution_channel,lead_time,is_canceled,reserved_room_type,assigned_room_type,booking_changes,stays_in_weekend_nights,stays_in_week_nights,average_daily_rate,year,month,quarter,day
Resort Hotel,RUS,2,0.0,0,Online TA,TA/TO,109,0,A,D,0,0,1,59.94,2016,1,1,2
Resort Hotel,RUS,2,2.0,0,Online TA,TA/TO,109,0,H,H,0,0,1,116.1,2016,1,1,2
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,2,1,D,D,0,0,1,89.0,2016,1,1,1
Resort Hotel,ARG,2,0.0,0,Online TA,TA/TO,88,0,A,D,0,0,2,73.46,2016,1,1,3
Resort Hotel,PRT,2,2.0,0,Online TA,TA/TO,20,1,G,G,0,0,2,119.0,2016,12,4,22
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,76,1,A,A,0,1,2,57.9,2016,12,4,20
Resort Hotel,ARG,2,1.0,0,Online TA,TA/TO,88,0,A,D,0,0,2,90.17,2016,1,1,3
Resort Hotel,PRT,2,0.0,0,Groups,Direct,113,1,A,A,0,0,1,72.0,2016,11,4,16
Resort Hotel,FRA,2,0.0,0,Online TA,TA/TO,110,0,D,E,0,2,5,46.93,2016,1,1,9
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,103,1,A,A,0,2,3,36.45,2016,12,4,12
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,22,1,E,E,0,2,4,96.0,2016,12,4,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,0,1,A,A,0,1,1,32.3,2016,1,1,4
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,3,1,E,E,0,1,2,52.8,2016,1,1,4
Resort Hotel,PRT,2,0.0,0,Groups,Corporate,5,1,A,A,0,1,3,68.0,2016,12,4,30
Resort Hotel,PRT,1,0.0,0,Groups,Corporate,5,1,A,A,0,1,3,61.0,2016,12,4,30
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,20,1,E,E,0,1,4,54.4,2016,12,4,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,62,1,E,E,0,1,4,61.2,2016,11,4,17
Resort Hotel,PRT,1,0.0,0,Online TA,TA/TO,189,1,A,A,0,0,5,25.11,2016,12,4,26
Resort Hotel,PRT,2,0.0,0,Online TA,TA/TO,132,1,A,A,0,0,3,29.16,2016,9,3,14
Resort Hotel,PRT,2,0.0,0,Offline TA/TO,TA/TO,13,1,A,A,0,8,20,65.0,2016,12,4,29
